Date,AAPL,AMD,AMZN,GOOG,META,MSFT,NVDA,TSLA
2017-01-03,26.77088165283203,11.430000305175781,37.68349838256836,39.03984069824219,116.14400482177734,56.40469741821289,2.5123462677001953,14.465999603271484
2017-01-04,26.740917205810547,11.430000305175781,37.85900115966797,39.07758331298828,117.9627914428711,56.152305603027344,2.5709621906280518,15.13266658782959
2017-01-05,26.876909255981445,11.239999771118164,39.022499084472656,39.4311637878418,119.93067169189453,56.152305603027344,2.50569748878479,15.116666793823242
2017-01-06,27.176532745361328,11.319999694824219,39.79949951171875,40.033538818359375,122.65387725830078,56.639034271240234,2.539191961288452,15.267333030700684
2017-01-09,27.425458908081055,11.489999771118164,39.84600067138672,40.05836868286133,124.13473510742188,56.458770751953125,2.6421384811401367,15.41866683959961
2017-01-10,27.45311737060547,11.4399995803833,39.79499816894531,39.96600341796875,123.58810424804688,56.440738677978516,2.6221892833709717,15.324666976928711
2017-01-11,27.600631713867188,11.199999809265137,39.95100021362305,40.120941162109375,125.31744384765625,56.95448303222656,2.5899274349212646,15.315333366394043
2017-01-12,27.485387802124023,10.760000228881836,40.68199920654297,40.04396438598633,125.84420013427734,56.431724548339844,2.547565221786499,15.305999755859375
2017-01-13,27.436986923217773,10.579999923706055,40.856998443603516,40.11945343017578,127.55365753173828,56.512840270996094,2.547318696975708,15.850000381469727
2017-01-17,27.658254623413086,9.819999694824219,40.486000061035156,39.95706558227539,127.08655548095703,56.359615325927734,2.4901816844940186,15.70533275604248
2017-01-18,27.65593910217285,9.880000114440918,40.374000549316406,40.029571533203125,127.13624572753906,56.332584381103516,2.5354979038238525,15.890666961669922
2017-01-19,27.6075439453125,9.770000457763672,40.45199966430664,39.83613967895508,126.76850891113281,56.152305603027344,2.5899274349212646,16.250667572021484
2017-01-20,27.658254623413086,9.75,40.416500091552734,39.9774169921875,126.26163482666016,56.548892974853516,2.5616040229797363,16.315332412719727
2017-01-23,27.676687240600586,9.90999984741211,40.89400100708008,40.687068939208984,128.14004516601562,56.747188568115234,2.5882019996643066,16.594667434692383
2017-01-24,27.651338577270508,10.4399995803833,41.12200164794922,40.913516998291016,128.5773468017578,57.251922607421875,2.6433701515197754,16.974000930786133
2017-01-25,28.091564178466797,10.350000381469727,41.82600021362305,41.499507904052734,130.6744384765625,57.39613342285156,2.6546990871429443,16.96466636657715
2017-01-26,28.105390548706055,10.520000457763672,41.95750045776367,41.32469940185547,131.96646118164062,57.92792510986328,2.700507640838623,16.833999633789062
2017-01-27,28.107698440551758,10.670000076293945,41.78850173950195,40.88570785522461,131.37014770507812,59.28891372680664,2.7527201175689697,16.863332748413086
2017-01-30,28.03394317626953,10.609999656677246,41.51900100708008,39.843345642089844,130.17747497558594,58.70305633544922,2.709620237350464,16.708667755126953
2017-01-31,27.96940803527832,10.369999885559082,41.17399978637695,39.56871795654297,129.52154541015625,58.270416259765625,2.6889331340789795,16.795333862304688
2017-02-01,29.674997329711914,12.0600004196167,41.61750030517578,39.514347076416016,132.41371154785156,57.30599594116211,2.806410551071167,16.615999221801758
2017-02-02,29.624286651611328,12.279999732971191,41.997501373291016,39.655128479003906,130.03834533691406,56.93646240234375,2.8418755531311035,16.770000457763672
2017-02-03,29.75105857849121,12.239999771118164,40.5099983215332,39.8021240234375,130.17747497558594,57.39613342285156,2.8170006275177,16.755332946777344
2017-02-06,30.02994728088379,13.630000114440918,40.38199996948242,39.794677734375,131.25088500976562,57.360076904296875,2.8891618251800537,17.184667587280273
2017-02-07,30.31575584411621,13.289999961853027,40.625,40.074256896972656,131.03224182128906,57.17081069946289,2.9339864253997803,17.165332794189453
2017-02-08,30.43329429626465,13.5600004196167,40.98550033569336,40.14427947998047,133.37774658203125,57.089691162109375,2.9211788177490234,17.472000122070312
2017-02-09,30.65320587158203,13.420000076293945,41.06800079345703,40.202880859375,133.318115234375,57.73863983154297,2.8662571907043457,17.946666717529297
2017-02-10,30.5837459564209,13.579999923706055,41.37300109863281,40.406986236572266,133.3678436279297,57.684547424316406,2.798283338546753,17.948667526245117
2017-02-13,30.854595184326172,13.489999771118164,41.826499938964844,40.68359375,133.2286834716797,58.333526611328125,2.6692309379577637,18.706666946411133
2017-02-14,31.255069732666016,13.260000228881836,41.81949996948242,40.743682861328125,133.02993774414062,58.551143646240234,2.679082155227661,18.73200035095215
2017-02-15,31.368486404418945,13.300000190734863,42.1349983215332,40.67068099975586,132.62240600585938,58.514862060546875,2.684499740600586,18.650667190551758
2017-02-16,31.331457138061523,12.970000267028809,42.207000732421875,40.92791748046875,133.01995849609375,58.505802154541016,2.6414003372192383,17.93000030517578
2017-02-17,31.417116165161133,13.130000114440918,42.253501892089844,41.12208557128906,132.7118682861328,58.59648895263672,2.640907049179077,18.148666381835938
2017-02-21,31.643962860107422,14.0,42.821998596191406,41.30036926269531,132.9007110595703,58.478607177734375,2.735481023788452,18.492666244506836
2017-02-22,31.73886489868164,14.279999732971191,42.78049850463867,41.25567626953125,135.28599548339844,58.3607177734375,2.7312893867492676,18.233999252319336
2017-02-23,31.60460662841797,14.319999694824219,42.609500885009766,41.28398132324219,134.53067016601562,58.59648895263672,2.4780349731445312,17.06599998474121
2017-02-24,31.634700775146484,14.119999885559082,42.262001037597656,41.15039825439453,134.61016845703125,58.59648895263672,2.501955270767212,17.133333206176758
2017-02-27,31.697193145751953,15.199999809265137,42.43199920654297,41.18217468261719,135.57423400878906,58.24282455444336,2.574700117111206,16.415332794189453
