Date,^TNX
2017-01-03,0.024500000476837158
2017-01-04,0.024519999027252198
2017-01-05,0.02368000030517578
2017-01-06,0.024179999828338624
2017-01-09,0.02375999927520752
2017-01-10,0.02378999948501587
2017-01-11,0.02369999885559082
2017-01-12,0.023610000610351563
2017-01-13,0.02380000114440918
2017-01-17,0.023269999027252197
2017-01-18,0.023889999389648437
2017-01-19,0.024590001106262208
2017-01-20,0.024670000076293944
2017-01-23,0.024030001163482667
2017-01-24,0.024709999561309814
2017-01-25,0.025230000019073485
2017-01-26,0.025079998970031738
2017-01-27,0.02480999946594238
2017-01-30,0.024830000400543215
2017-01-31,0.024509999752044678
2017-02-01,0.024739999771118164
2017-02-02,0.024700000286102294
2017-02-03,0.02490999937057495
2017-02-06,0.024130001068115234
2017-02-07,0.023889999389648437
2017-02-08,0.023510000705718993
2017-02-09,0.023949999809265137
2017-02-10,0.024089999198913574
2017-02-13,0.02434000015258789
2017-02-14,0.024700000286102294
2017-02-15,0.02502000093460083
2017-02-16,0.024500000476837158
2017-02-17,0.02424999952316284
2017-02-21,0.02427000045776367
2017-02-22,0.024179999828338624
2017-02-23,0.023880000114440917
2017-02-24,0.02316999912261963
2017-02-27,0.0236899995803833
2017-02-28,0.023580000400543213
2017-03-01,0.024630000591278078
2017-03-02,0.02489000082015991
2017-03-03,0.02492000102996826
2017-03-06,0.0249399995803833
2017-03-07,0.025109999179840088
2017-03-08,0.025520000457763672
2017-03-09,0.025980000495910646
2017-03-10,0.025820000171661375
2017-03-13,0.026080000400543212
2017-03-14,0.025950000286102295
2017-03-15,0.025079998970031738
2017-03-16,0.025220000743865968
2017-03-17,0.025009999275207518
2017-03-20,0.024730000495910644
2017-03-21,0.02436000108718872
2017-03-22,0.023959999084472657
2017-03-23,0.024179999828338624
2017-03-24,0.024000000953674317
2017-03-27,0.02372999906539917
2017-03-28,0.024089999198913574
2017-03-29,0.023859999179840087
2017-03-30,0.024159998893737794
2017-03-31,0.023959999084472657
2017-04-03,0.023499999046325683
2017-04-04,0.023499999046325683
2017-04-05,0.023570001125335693
2017-04-06,0.023429999351501463
2017-04-07,0.02372999906539917
2017-04-10,0.023610000610351563
2017-04-11,0.022980000972747803
2017-04-12,0.022960000038146973
2017-04-13,0.022320001125335692
2017-04-17,0.02252000093460083
2017-04-18,0.021789999008178712
2017-04-19,0.0220199990272522
2017-04-20,0.022409999370574953
2017-04-21,0.022369999885559082
2017-04-24,0.022730000019073486
2017-04-25,0.023269999027252197
2017-04-26,0.02311000108718872
2017-04-27,0.022960000038146973
2017-04-28,0.022820000648498536
2017-05-01,0.02325000047683716
2017-05-02,0.022960000038146973
2017-05-03,0.02309000015258789
2017-05-04,0.023559999465942384
2017-05-05,0.023519999980926513
2017-05-08,0.02375999927520752
2017-05-09,0.024070000648498534
2017-05-10,0.024140000343322754
2017-05-11,0.024000000953674317
2017-05-12,0.023350000381469727
2017-05-15,0.023380000591278077
2017-05-16,0.023289999961853027
2017-05-17,0.022160000801086426
2017-05-18,0.022330000400543212
2017-05-19,0.02244999885559082
2017-05-22,0.02253999948501587
2017-05-23,0.022850000858306886
2017-05-24,0.022660000324249266
2017-05-25,0.02255000114440918
2017-05-26,0.0225
2017-05-30,0.022170000076293946
2017-05-31,0.02196000099182129
2017-06-01,0.022170000076293946
2017-06-02,0.021589999198913575
2017-06-05,0.021819999217987062
2017-06-06,0.02147000074386597
2017-06-07,0.021779999732971192
2017-06-08,0.02194000005722046
2017-06-09,0.02198999881744385
2017-06-12,0.022130000591278075
2017-06-13,0.022070000171661375
2017-06-14,0.021380000114440918
2017-06-15,0.021619999408721925
2017-06-16,0.021570000648498535
2017-06-19,0.02190000057220459
2017-06-20,0.021530001163482665
2017-06-21,0.021549999713897705
2017-06-22,0.021530001163482665
2017-06-23,0.02144000053405762
2017-06-26,0.021370000839233398
2017-06-27,0.02197999954223633
2017-06-28,0.022209999561309816
2017-06-29,0.022669999599456786
2017-06-30,0.023020000457763673
2017-07-03,0.023459999561309813
2017-07-05,0.023340001106262206
2017-07-06,0.02369999885559082
2017-07-07,0.023929998874664307
2017-07-10,0.02371000051498413
2017-07-11,0.023619999885559084
2017-07-12,0.023269999027252197
2017-07-13,0.023480000495910643
2017-07-14,0.02319000005722046
2017-07-17,0.02309000015258789
2017-07-18,0.02263000011444092
2017-07-19,0.022679998874664306
2017-07-20,0.022660000324249266
2017-07-21,0.022320001125335692
2017-07-24,0.02253999948501587
2017-07-25,0.023259999752044676
2017-07-26,0.022820000648498536
2017-07-27,0.02309999942779541
2017-07-28,0.022890000343322753
2017-07-31,0.022920000553131103
2017-08-01,0.02250999927520752
2017-08-02,0.0226200008392334
2017-08-03,0.022279999256134032
2017-08-04,0.022669999599456786
2017-08-07,0.02256999969482422
2017-08-08,0.022829999923706056
2017-08-09,0.022409999370574953
2017-08-10,0.022119998931884766
2017-08-11,0.02188999891281128
2017-08-14,0.022190001010894776
2017-08-15,0.022660000324249266
2017-08-16,0.022260000705718996
2017-08-17,0.02198999881744385
2017-08-18,0.02194000005722046
2017-08-21,0.021800000667572022
2017-08-22,0.022149999141693116
2017-08-23,0.021710000038146972
2017-08-24,0.02194000005722046
2017-08-25,0.021689999103546142
2017-08-28,0.021589999198913575
2017-08-29,0.02135999917984009
2017-08-30,0.021429998874664305
2017-08-31,0.02121000051498413
2017-09-01,0.021570000648498535
2017-09-05,0.020699999332427978
2017-09-06,0.02108000040054321
2017-09-07,0.02061000108718872
2017-09-08,0.02061000108718872
2017-09-11,0.02125
2017-09-12,0.021710000038146972
